scene_id,object_id,object_name,num_frames,ADD_AUC_mean,ADD_AUC_std,ADD-S_AUC_mean,ADD-S_AUC_std,rotation_error_mean_deg,rotation_error_std_deg,translation_error_mean_cm,translation_error_std_cm,time_mean_ms,time_std_ms,time_total_sec
48,1,master chef can,20,0.4032,0.4873,1.0000,0.0000,98.7213,76.4812,1.1102,0.1203,13084.9015,155.1354,261.6980
48,6,tuna fish can,20,0.9000,0.3000,0.9000,0.3000,18.7883,45.5825,1.2818,3.0536,13042.2169,131.7289,260.8443
48,14,mug,20,1.0000,0.0000,1.0000,0.0000,5.1412,2.3285,0.4724,0.1320,13468.2183,170.7574,269.3644
48,19,vertical large clamp,15,0.8746,0.3197,1.0000,0.0000,28.6648,56.9838,0.6436,0.5736,13085.7485,179.9977,196.2862
48,20,horizontal extra large clamp,20,0.0049,0.0214,0.0500,0.2179,171.7377,15.2754,21.1547,4.4493,13031.4337,139.8607,260.6287
49,6,tuna fish can,20,1.0000,0.0000,1.0000,0.0000,2.6664,0.6368,0.4653,0.0751,13038.9908,216.8135,260.7798
49,13,bowl,8,0.0898,0.0438,1.0000,0.0000,52.6043,26.2778,0.2377,0.0423,13108.4571,242.4747,104.8677
50,2,cracker box,20,1.0000,0.0000,1.0000,0.0000,0.5327,0.3268,0.1109,0.0426,13070.7880,174.7596,261.4158
50,4,tomato soup can,3,0.2987,0.4224,0.6235,0.2789,114.5122,71.8554,2.6867,1.5472,13398.9113,301.5745,40.1967
50,5,mustard bottle,20,1.0000,0.0000,1.0000,0.0000,1.6187,0.3667,0.2132,0.0479,13036.1384,99.1219,260.7228
50,10,banana,20,1.0000,0.0000,1.0000,0.0000,5.6006,1.4859,0.4249,0.0945,12951.5943,201.4137,259.0319
50,15,power drill,20,1.0000,0.0000,1.0000,0.0000,2.0097,0.2282,0.2211,0.0386,13018.4608,86.7174,260.3692
51,1,master chef can,20,0.9511,0.2130,0.9631,0.1608,6.5506,20.4717,0.4899,1.5565,13058.3220,158.4364,261.1664
51,3,sugar box,3,1.0000,0.0000,1.0000,0.0000,3.0613,0.2091,0.2949,0.0631,13242.0321,282.5154,39.7261
51,4,tomato soup can,20,0.1500,0.3571,0.1783,0.3470,97.0901,46.6215,8.6970,3.5374,13011.5446,145.1926,260.2309
51,12,bleach cleanser,20,1.0000,0.0000,1.0000,0.0000,1.8274,0.3638,0.3375,0.0986,12997.5600,161.9848,259.9512
51,17,scissors,20,1.0000,0.0000,1.0000,0.0000,4.8837,1.1410,0.2263,0.0739,13046.2390,159.5717,260.9248
52,5,mustard bottle,20,0.8061,0.3878,1.0000,0.0000,37.7455,69.9350,0.2259,0.0622,13082.0501,217.1159,261.6410
52,6,tuna fish can,20,1.0000,0.0000,1.0000,0.0000,4.2764,0.6655,0.2464,0.0796,13029.4727,104.3111,260.5895
53,4,tomato soup can,20,1.0000,0.0000,1.0000,0.0000,2.5663,0.8616,0.1475,0.0289,13044.5218,140.3671,260.8904
53,13,bowl,20,0.0758,0.2201,1.0000,0.0000,134.0835,45.4640,0.5185,0.0581,13041.8499,169.1840,260.8370
54,2,cracker box,20,0.7500,0.4330,0.7624,0.4116,25.4804,41.6678,5.5945,9.3202,13036.6882,172.0619,260.7338
54,12,bleach cleanser,16,1.0000,0.0000,1.0000,0.0000,3.3138,0.9889,0.3422,0.1131,13018.4694,132.2927,208.2955
54,15,power drill,20,1.0000,0.0000,1.0000,0.0000,1.9581,0.6507,0.1742,0.0899,13083.3356,209.1275,261.6667
54,19,vertical large clamp,1,0.0557,0.0000,1.0000,0.0000,176.4856,0.0000,1.3918,0.0000,13592.2067,0.0000,13.5922
55,1,master chef can,20,0.9505,0.2158,1.0000,0.0000,12.3624,34.5404,0.2577,0.0465,13075.4596,153.7078,261.5092
55,4,tomato soup can,20,0.0000,0.0000,0.0000,0.0000,127.9769,58.8407,33.2772,1.3289,12971.1334,163.8632,259.4227
55,14,mug,20,0.9509,0.2141,0.9984,0.0071,10.3637,34.8676,0.4861,0.4850,13406.9317,179.2493,268.1386
55,16,wood block,20,0.3065,0.4540,1.0000,0.0000,121.4452,81.0420,0.5741,0.2035,13062.6597,120.5815,261.2532
56,1,master chef can,20,1.0000,0.0000,1.0000,0.0000,1.4875,0.5044,0.3307,0.0398,13069.0948,164.6788,261.3819
56,10,banana,20,0.9994,0.0025,1.0000,0.0000,5.0023,4.3363,0.3684,0.2146,12971.0089,229.4650,259.4202
56,15,power drill,20,1.0000,0.0000,1.0000,0.0000,1.4200,0.3712,0.2688,0.0752,13055.3772,208.6938,261.1075
57,4,tomato soup can,20,1.0000,0.0000,1.0000,0.0000,2.4489,0.9379,0.4181,0.0354,13052.1595,138.2940,261.0432
57,12,bleach cleanser,20,1.0000,0.0000,1.0000,0.0000,2.0453,0.8844,0.3542,0.0656,12991.3146,175.1554,259.8263
57,18,large marker,8,0.3208,0.3961,1.0000,0.0000,126.6414,69.1628,0.3980,0.1212,13179.7324,227.4942,105.4379
57,20,horizontal extra large clamp,19,0.3376,0.3959,1.0000,0.0000,132.3649,76.1749,1.3965,0.4288,13086.9830,130.8629,248.6527
58,3,sugar box,20,0.0000,0.0000,0.2651,0.0411,129.4754,34.1301,8.9956,1.1398,13042.7939,140.8576,260.8559
58,7,pudding box,20,1.0000,0.0000,1.0000,0.0000,2.7281,1.0909,0.2437,0.1318,13037.1065,145.8589,260.7421
58,8,gelatin box,20,0.1000,0.3000,0.1158,0.3026,101.3529,81.8424,10.8782,3.9940,13046.2221,147.8736,260.9244
59,2,cracker box,20,1.0000,0.0000,1.0000,0.0000,2.9936,0.4385,0.3174,0.0777,12706.7151,136.6106,254.1343
59,4,tomato soup can,20,0.9975,0.0107,1.0000,0.0000,4.5614,1.9453,0.1859,0.1186,12951.0829,140.5411,259.0217
59,6,tuna fish can,20,1.0000,0.0000,1.0000,0.0000,3.8908,1.8430,0.2799,0.0768,13071.9448,206.9074,261.4389
59,15,power drill,20,1.0000,0.0000,1.0000,0.0000,2.4471,0.3778,0.3149,0.1134,13088.2416,198.3455,261.7648
59,18,large marker,14,0.1870,0.3320,1.0000,0.0000,152.9866,57.9575,0.3336,0.0955,13172.8710,181.3150,184.4202
